Direction,Date,Message
Received,"2025-09-01 08:34:23","￼"
Received,"2025-09-01 08:34:49","￼"
Received,"2025-09-01 08:35:07","￼"
Sent,"2025-09-01 08:36:32","the whole point was - i LIKE being open in a situation like that because i think trust and loyalty is so important that every opportunity to be transparent should be taken"
Sent,"2025-09-01 08:37:43","okay i’m going to send you this to read when you’re bored or whatever - there’s no urgency or any need to read it right now"
Received,"2025-09-01 08:37:59",Please
Sent,"2025-09-01 08:38:01","also if you think it’s stupid"
Sent,"2025-09-01 08:38:10","trash it and call me an idiot"
Sent,"2025-09-01 08:38:17","￼"
Sent,"2025-09-01 08:58:52","oh also…

-dfrank88@gmail.com
-2024!trumpWON

i don't care what you have to say about it. sue me.

trust = everything. 

eventually if you ever think i’m on some bullshit, you'll never have to wonder or be left unsure. i want to give you the tools to always know i'm real as fuck"
Sent,"2025-09-01 09:10:09","nope. both of those microphone buttons on the right side are speech-to-text for me so i'll accept your apology in handwriting please 😑"
Received,"2025-09-01 10:32:03","You want me to freak tf out?"
Received,"2025-09-01 10:32:06",Lol
Received,"2025-09-01 10:32:13","Don’t give me this access I’ll die"
Sent,"2025-09-01 10:32:58","you’ll thank me some day"
Received,"2025-09-01 10:33:47","I’ll go through old shit"
Sent,"2025-09-01 10:33:50","forget about it. put a 📌 in it.

but you can always search for the 📌 "
Received,"2025-09-01 10:33:50","I don’t want to"
Received,"2025-09-01 10:33:56",Lol
Received,"2025-09-01 10:34:37","Bout to lose my mindsetttt"
Sent,"2025-09-01 10:35:52","you’ll see. you’ll see."
Sent,"2025-09-01 10:39:59","i like you. 

and i’m different."
Received,"2025-09-01 10:40:20","See what?"
Sent,"2025-09-01 10:40:21","what time do you start moving? did you like"
Sent,"2025-09-01 10:40:24",pack?
Sent,"2025-09-01 10:43:27","that i’m not just being a douche here. you explained your ‘rules’ and i don’t need to wait for you to ask to get in compliance "
Sent,"2025-09-01 10:44:20","forget it though it wasn’t supposed to be a big deal i’m just doing what i do "
Received,"2025-09-01 10:44:22","🤔 "
Received,"2025-09-01 10:45:10","Oh really?"
Received,"2025-09-01 10:45:29","You’re cute"
Received,"2025-09-01 10:45:33","As fucj"
Sent,"2025-09-01 10:45:47","also for the record"
Sent,"2025-09-01 10:46:06","this is not normal behavior lmao you actually are kinda special"
Sent,"2025-09-01 10:47:17","come on this is so much more fun anyways"
Sent,"2025-09-01 10:48:08","what’s the point in having this kind of chemistry and love for intense connection without going all in"
Received,"2025-09-01 10:53:41","￼"
Received,"2025-09-01 10:54:23","￼"
Received,"2025-09-01 10:55:49","￼"
Received,"2025-09-01 10:56:01","￼"
Sent,"2025-09-01 11:03:03","did you mean to call me?"
Sent,"2025-09-01 11:03:24","i was in the process of making video for you"
Received,"2025-09-01 11:03:44",Oops
Received,"2025-09-01 11:03:45",No
Sent,"2025-09-01 11:09:31",O
Sent,"2025-09-01 11:10:03","￼"
Sent,"2025-09-01 11:24:32","￼A"
Sent,"2025-09-01 11:31:52","￼"
Received,"2025-09-01 11:40:25","Loved a movie"
Received,"2025-09-01 11:40:28","I love it "
Received,"2025-09-01 11:40:31","All of it "
Received,"2025-09-01 11:40:42","I’ll explain asap"
Received,"2025-09-01 11:41:30","Why did you say O & A?"
Received,"2025-09-01 11:41:47","I love your eyes"
Received,"2025-09-01 11:43:10",Lmaoooooo
Sent,"2025-09-01 11:46:10","I don’t think i did but if you’re going to tell me that you know about opie and anthony we are literally getting married today"
Sent,"2025-09-01 11:47:01","i only have eyes for you 😍"
Sent,"2025-09-01 11:49:08","do you understand that i have not been able to get you out of my head for 5 minutes since we started talking "
Sent,"2025-09-01 12:04:16","you know i’m gonna make you happier than you’ve ever felt before right? "
Received,"2025-09-01 12:36:15","￼"
Received,"2025-09-01 12:36:27","Loved “i only have eyes for you 😍”"
Received,"2025-09-01 12:36:38","￼"
Received,"2025-09-01 12:37:35","What is wrong with my tapped ass phone"
Received,"2025-09-01 12:37:36","Call me"
Received,"2025-09-01 12:38:54","￼"
Sent,"2025-09-01 12:39:02","30 secs"
Sent,"2025-09-01 12:39:07","mine is turning back on"
Received,"2025-09-01 12:39:08",No
Received,"2025-09-01 12:39:11",Wtf
Received,"2025-09-01 12:53:29","￼"
Received,"2025-09-01 13:01:26","￼"
Sent,"2025-09-01 13:10:55","￼‘"
Received,"2025-09-01 13:59:47","￼"
Sent,"2025-09-01 14:26:52","swear to god we’re going to end up married "
Sent,"2025-09-01 14:27:07","i couldn’t be more serious"
Received,"2025-09-01 14:29:56","Lol "
Received,"2025-09-01 14:30:00",Wooowww
Sent,"2025-09-01 14:30:06","WHO LAUGHIN’ "
Received,"2025-09-01 14:31:05","￼"
Sent,"2025-09-01 14:31:51","just be aware"
Sent,"2025-09-01 14:32:31","i really am the asshole who would pack his bag today and go live in a fucking conversion van with you"
Sent,"2025-09-01 14:33:44","kristin it’s okaaaaay i swear to god like"
Sent,"2025-09-01 14:34:03","not only do i see things kinda differently now but the more important thing is"
Sent,"2025-09-01 14:34:31","i know how you think and i trust the way your mind works. i trust you"
Sent,"2025-09-01 14:35:10","this is just fucking different idk"
Sent,"2025-09-01 14:35:54","i like you a lot. just keep being you."
Sent,"2025-09-01 14:37:22",to
Sent,"2025-09-01 14:37:38","you are perfect. just be yourself it’s exactly right"
Received,"2025-09-01 14:38:41","Okay I’m just clarifying bc I mean I would tell you if I was with someone I was attracted to sexually lol or someone I fucked. Just bc I’m that honest but that’s not the case here currently"
Received,"2025-09-01 14:38:54","I’m always myself. Thank you"
Received,"2025-09-01 14:39:00","🫶🏼"
Received,"2025-09-01 14:39:27","Loved “you are perfect. just be yourself it’s exactly rig…”"
Received,"2025-09-01 14:43:17","￼"
Sent,"2025-09-01 14:46:47","i believe you. i trust you i really do."
Sent,"2025-09-01 14:47:46","￼guarantee he said “violently hallucinating” to 10 people besides us"
Sent,"2025-09-01 14:48:08","oh i’m sorry he said “vividly” in yours not violently"
Sent,"2025-09-01 14:48:50","￼"
Received,"2025-09-01 14:50:42","￼"
Received,"2025-09-01 14:51:11","Oops "
Sent,"2025-09-01 14:51:39","did you get what happened "
Sent,"2025-09-01 14:51:43","he read"
Sent,"2025-09-01 14:51:51","“and dennnnnnn” as “dan”"
Sent,"2025-09-01 14:51:59","and was saying i don’t do fun stuff"
Sent,"2025-09-01 14:52:01","i think "
Received,"2025-09-01 14:52:16",Yes
Received,"2025-09-01 14:52:31","He’s jealous "
Received,"2025-09-01 14:52:33",Lol
Received,"2025-09-01 14:52:40","And too pussy"
Sent,"2025-09-01 14:52:44","well "
Received,"2025-09-01 14:52:48","So he is self destructing"
Sent,"2025-09-01 14:52:50",here
Received,"2025-09-01 14:52:58","This is who he is"
Sent,"2025-09-01 14:53:01","￼"
Sent,"2025-09-01 14:53:41","the best part about all of this is how"
Sent,"2025-09-01 14:54:02","the language (THE VERB-EDGE) of this joke with he and i has stayed the same"
Received,"2025-09-01 14:54:12","He said he was “doing me a favor” by introducing us he can’t be upset lol"
Sent,"2025-09-01 14:54:26","but the reality of the situation has actually come to fruition"
Received,"2025-09-01 14:54:38","Which is?"
Sent,"2025-09-01 14:55:39","like i was making the exact same jokes about how in love with you i was "
Sent,"2025-09-01 14:55:58","before during and after i actually did the thing"
Sent,"2025-09-01 14:56:07","it’s like the joke made it come true lmao"
Sent,"2025-09-01 14:58:30","and you keep digging the hole even deeper like you start talking about synchronicity - come ON dude "
Sent,"2025-09-01 14:59:15","i want to go somewhere cold and get under a blanket with you and talk and fuck and just exist with youuntil the end of the world"
Received,"2025-09-01 15:13:35","😂😂"
Received,"2025-09-01 15:13:52","Loved “i want to go somewhere cold and get under a blanke…”"
Received,"2025-09-01 15:15:50","It sounds heavenly really"
Received,"2025-09-01 15:19:05","You stroke my ego everyday that’s what I live for. It’s like if I was your dick just never stop stroking it"
Received,"2025-09-01 15:19:18","😝"
Sent,"2025-09-01 15:19:36","￼"
Sent,"2025-09-01 15:19:59","i checked in on our son"
Received,"2025-09-01 15:20:05",Lmfao
Sent,"2025-09-01 15:20:13","he’s…….."
Received,"2025-09-01 15:20:14","He’s not well"
Received,"2025-09-01 15:20:20","I already know"
Sent,"2025-09-01 15:20:25","that’s a perfect way to put it "
Sent,"2025-09-01 15:20:32","he is not well"
Sent,"2025-09-01 15:20:46","but the one piece of good news"
Received,"2025-09-01 15:21:13","I wouldn’t be too if I was already him plus his 2 fav people on earth are uniting without him"
Received,"2025-09-01 15:21:27","Edited to “I would be too if I was already him plus his 2 fav people on earth are uniting without him”"
Sent,"2025-09-01 15:21:35","he’s found a coping mechanism to deal with our burgeoning romantic connection"
Received,"2025-09-01 15:21:45",Elaborate
Received,"2025-09-01 15:21:52","With your sexy nerd talk"
Sent,"2025-09-01 15:22:04","“you’re going to hate her so much” is his new line"
Received,"2025-09-01 15:22:14","I’ll slit his fufking throat"
Sent,"2025-09-01 15:22:16","he’s deep in the "
Sent,"2025-09-01 15:22:19","hahahaha i love you"
Sent,"2025-09-01 15:22:28","you’re literally everything"
Received,"2025-09-01 15:22:33","I will literally drive there right now "
Received,"2025-09-01 15:22:39","And start beating his ass"
Received,"2025-09-01 15:22:46","Only he would love it so I can’t"
Sent,"2025-09-01 15:23:02","just let him sprint down the “i got sick of her so i gave her to you” pipeline"
Received,"2025-09-01 15:23:34","￼"
Sent,"2025-09-01 15:24:09","also, as i said - the whole joke from the beginning was i was pretending to be madly in love with you and using poetic flowery language"
Received,"2025-09-01 15:24:20","￼"
Sent,"2025-09-01 15:24:58","and the fact that i actually fell in love with you has made the language that much more potent"
Sent,"2025-09-01 15:25:19","the only time i felt bad"
Sent,"2025-09-01 15:25:35","he’s the third person who said "
Sent,"2025-09-01 15:25:42","that i seem really happy "
Received,"2025-09-01 15:25:42","￼"
Sent,"2025-09-01 15:25:52","he’s the first one who actually knows why "
Received,"2025-09-01 15:26:22","￼"
Sent,"2025-09-01 15:27:30","listen listen i understand and you’re not wrong…but i’m passing along some shit he would never say to someone who isn’t a dude and certainly not to you so…you’re not wrong to be mad but he never would have intended for you to hear what he was saying"
Sent,"2025-09-01 15:27:48","again though you’re 100% in the right "
Sent,"2025-09-01 15:28:35","ugh i shouldn’t even say this but you’re right because it def colored my impression of you before i knew the real situation"
Sent,"2025-09-01 15:29:23","you’ve got a valid argument here i can’t do much to defend him on that one"
Received,"2025-09-01 15:30:43","￼"
Sent,"2025-09-01 15:31:47","that’s the thing is like - and again i shouldn’t even tell you just how right you are - but when i actually like saw pictures of you i was like “okay that is NOT who i thought this was going to be” specifically because i thought you were fucking tom"
Sent,"2025-09-01 15:32:49","so i can’t even tell you that you shouldn’t be furious - he’s fucking with how people perceive you"
Sent,"2025-09-01 15:33:27","okay so as his defense attorney i think all i’m left with is the plea of  sympathetic “stupidity” "
Sent,"2025-09-01 15:33:56","my client is simply such a dumbass, and an unfuckable dumbass at that, that we petition this court for any mercy that the state makes available"
Sent,"2025-09-01 15:35:12","no you’re right though. now that i think about it, there’s a gross subtext to the “i didn’t want her anymore” thing that goes way beyond the surface level defense mechanism"
Sent,"2025-09-01 15:35:48","should we take him out? "
Sent,"2025-09-01 15:35:54","smash his kneecaps"
Received,"2025-09-01 15:36:19","￼"
Received,"2025-09-01 15:36:40","He’s a BITCH"
Sent,"2025-09-01 15:37:01","goal to do what? spin it so that it LOOKS like you guys had a thing"
Received,"2025-09-01 15:37:05","Oh. That doesn’t fuvking work in court"
Sent,"2025-09-01 15:37:20","i know i know i’m playing on the ‘insanity’ defense"
Sent,"2025-09-01 15:37:41","ohhhhh i just thought about something"
Received,"2025-09-01 15:37:49","￼"
Sent,"2025-09-01 15:37:56","he was using the fact that you guys walked out of his house together that one day "
Sent,"2025-09-01 15:38:06","to paint that picture "
Received,"2025-09-01 15:38:32","￼"
Received,"2025-09-01 15:39:15","￼"
Sent,"2025-09-01 15:40:11","okay listen the faster you let me girlfriend you the sooner i can defend your honor and arrange to make him pay for this"
Sent,"2025-09-01 15:40:31","am i funny? do you think i’m so funny right now"
Sent,"2025-09-01 15:41:01","no - i am having a hard time imagining that"
Sent,"2025-09-01 15:41:33","it’s too bad we don"
Received,"2025-09-01 15:42:01","￼"
Sent,"2025-09-01 15:42:04","don’t have a super embarassing video of him getting his little worm sucked while he says something stupid like “you are the THROAT GOAT”"
Sent,"2025-09-01 15:42:36","LMAO no i actually like you"
Sent,"2025-09-01 15:42:59","i don’t think i would need to reverse engineer that kind of arrangement with you"
Received,"2025-09-01 15:43:23","￼"
Received,"2025-09-01 15:43:34","￼"
Sent,"2025-09-01 15:44:42","lmao we’ll figure it out"
Sent,"2025-09-01 15:45:42","ohhhh no you’re not doing that spill it"
Received,"2025-09-01 15:46:38","￼"
Sent,"2025-09-01 15:46:41","if you want to really get him back"
Sent,"2025-09-01 15:46:59","kristin i’m sorry but"
Sent,"2025-09-01 15:47:05","you’re gonna have to give him a jeff"
Received,"2025-09-01 15:47:23",Lmao
Sent,"2025-09-01 15:47:30","you might have to sacrifice your dignity to give him a fat cum sandwich "
Sent,"2025-09-01 15:47:47","it’s not easy. it’s not fair"
Sent,"2025-09-01 15:47:51","but it’s what he deserves"
Sent,"2025-09-01 15:49:04","right but the guys name was jeff who snacked on it right?"
Received,"2025-09-01 15:50:32","￼"
Received,"2025-09-01 15:50:53","￼"
Received,"2025-09-01 15:51:23","￼"
Sent,"2025-09-01 15:51:29","i think it’s pretty rad actually that you have the perspective about danny and talk about him like you do - you can hear it in your voice that like, of all the relationships you have been in that it was the most profound "
Sent,"2025-09-01 15:52:17","i can’t say this for sure but i don’t get the sense that you created that as a response to his death either"
Sent,"2025-09-01 15:53:30","also i want to know what was going through your head as jeff starts taking your pants off and you slowly start to realize he’s going into the jazz contamination zone"
Sent,"2025-09-01 15:54:31","did you even try any sneaky moves to redirect him away from the pussy"
Sent,"2025-09-01 15:55:07","ADDITIONALLY - were you turned on by it at all"
Received,"2025-09-01 15:55:34","Loved “i think it’s pretty rad actually that you have the…”"
Received,"2025-09-01 15:56:03",Never
Sent,"2025-09-01 15:58:30","looking back on it though"
Received,"2025-09-01 15:58:47","￼"
Received,"2025-09-01 15:59:00","￼"
Sent,"2025-09-01 15:59:41","i’m just trying to understand the mentality because you girls are weird like that - if you had guy brains you would use that memory to get off on constantly"
Sent,"2025-09-01 16:00:54","i get it "
Sent,"2025-09-01 16:03:56","no what i’m saying is lthat girls focus on the personalities as psychosexual stimulus where guys focus on the scenario os the stimulus"
Received,"2025-09-01 16:04:01","￼"
Received,"2025-09-01 16:04:13","￼"
Received,"2025-09-01 16:04:20","￼"
Sent,"2025-09-01 16:04:21","or maybe it's easier to say"
Received,"2025-09-01 16:04:31","￼"
Sent,"2025-09-01 16:05:29","idon’t think girls relive the situational elements of stuff as sexual stimulus as much as they do the dynamic with the person"
Sent,"2025-09-01 16:05:46","if i were a girl and the guy i loved came in me and another guy ate it"
Received,"2025-09-01 16:05:48","￼"
Sent,"2025-09-01 16:05:53","i would be willing off to that constantly"
Sent,"2025-09-01 16:06:01","jilling off "
Received,"2025-09-01 16:06:09",Lmao
Received,"2025-09-01 16:06:24","￼"
Sent,"2025-09-01 16:06:53","well when a girl does it"
Sent,"2025-09-01 16:07:01","it’s jilling"
Sent,"2025-09-01 16:07:06","jack and jill"
Sent,"2025-09-01 16:07:08","get it "
Received,"2025-09-01 16:08:29","￼"
Sent,"2025-09-01 16:08:36","all3 are in?"
Sent,"2025-09-01 16:08:43","hey by the way"
Sent,"2025-09-01 16:09:01","am i doing better on here than on facebook messenger?"
Received,"2025-09-01 16:09:07",Yes
Sent,"2025-09-01 16:09:26","i told you. i was struggling so fucking hard on there"
Sent,"2025-09-01 16:09:37","nothing was coming in and everything was out of order"
Sent,"2025-09-01 16:09:51","i feel like it was fucking our whole vibe up"
Received,"2025-09-01 16:10:24","￼"
Sent,"2025-09-01 16:10:37","i have to tell you something.."
Sent,"2025-09-01 16:12:08","you are actually, no joke, honest to god perfect to me. in every fucking way…it’s crazy and you make me fucking vibrate with happiness"
Received,"2025-09-01 16:21:58","Loved “you are actually, no joke, honest to god perfect t…”"
Received,"2025-09-01 16:22:04",Why?
Sent,"2025-09-01 16:22:17","and the thing about this that is so good - we can make this into anything you want it to be. 
"
Received,"2025-09-01 16:22:40","We both times"
Received,"2025-09-01 16:22:46","Yes, or no? "
Sent,"2025-09-01 16:23:08","we both times?"
Sent,"2025-09-01 16:23:57","the one thing i have learned from my past is that trust is literally the only thing that matters"
Sent,"2025-09-01 16:29:31","are you saying “we can make it into anything we want it to be”"
Sent,"2025-09-01 16:29:59","rather than “we can make it into anything you want it to be” like i said or are you talking about something else"
Sent,"2025-09-01 16:46:29","either way - i just trust you and i don’t think there’s anyone else like you and you just…

you make me feel okay. "
Sent,"2025-09-01 16:48:17","just pretend you don’t notice i’m already falling in love over here okay 

nothing to see here! move along!"
Received,"2025-09-01 17:06:18","Loved “the one thing i have learned from my past is that …”"
Received,"2025-09-01 17:06:33","This. Maybe "
Received,"2025-09-01 17:06:41","Loved “either way - i just trust you and i don’t think th…”"
Received,"2025-09-01 17:06:52","I lost my keys"
Received,"2025-09-01 17:07:02","Now they’re found"
Received,"2025-09-01 17:09:11","I miss you"
Received,"2025-09-01 17:11:41","Are you going to get on a better consistent schedule soon? Or … 🤪 likeeeeeeee I give you mercy because my life is sporadic currently also but soon we will do the things"
Sent,"2025-09-01 17:12:31","listen the easier you make it for me to understand wtf you are the fast i will assimilate to it"
Received,"2025-09-01 17:12:40","But your consistency is valued"
Received,"2025-09-01 17:12:54","Laughed at “listen the easier you make it for me to understand…”"
Received,"2025-09-01 17:13:14","Ask my x’s and friends idk honestly I’m just me"
Sent,"2025-09-01 17:13:16","i was like super depressed "
Sent,"2025-09-01 17:13:22","and since i’ve met you"
Sent,"2025-09-01 17:13:25","the one change has been"
Received,"2025-09-01 17:13:25","I don’t even think I’m real"
Sent,"2025-09-01 17:13:42","i’m choosing to see it as “nothing left to lose” territory"
Sent,"2025-09-01 17:14:00","which, to be honest, is the kind of all or nothing framing i am most comfortable with"
Sent,"2025-09-01 17:14:14","i’m not joking i can’t be sure"
Sent,"2025-09-01 17:14:28","whoever the girl at tom’s house that one day was"
Sent,"2025-09-01 17:15:23","she might not have any idea there’s an AI posing as her making socialist white dudes fall in love on the internet"
Sent,"2025-09-01 17:15:37","right now i’m going to say 70/30"
Sent,"2025-09-01 17:16:02","and 30 is team ‘kristin is real’"
Sent,"2025-09-01 17:16:28","70 is ‘dan fell in love with a computer (again)’"
Sent,"2025-09-01 17:16:53","but but but but"
Sent,"2025-09-01 17:18:16","i think….and i can’t be sure….but i think i might be the one you want to let in. "
Received,"2025-09-01 17:18:40","Emphasized “i’m choosing to see it as “nothing left to lose” t…”"
Received,"2025-09-01 17:19:30","….."
Sent,"2025-09-01 17:19:32","some day. when you see just how much of me i will give you. and when you see how easy it can be to not lose the intensity"
Received,"2025-09-01 17:19:57","Not with that comment above you won’t "
Received,"2025-09-01 17:20:12","Loved “i think….and i can’t be sure….but i think i might …”"
Sent,"2025-09-01 17:20:23","oh i’m so sorry that you seem way too fucking good to be real"
Sent,"2025-09-01 17:20:50","i am terribly terribly sorry that you’re like if i custom ordered a dream girl from the internet you would arrive"
Received,"2025-09-01 17:20:56","You do this with everyone including computers"
Sent,"2025-09-01 17:21:05",nope
Received,"2025-09-01 17:21:09","Ew …"
Sent,"2025-09-01 17:21:14","i obsess"
Sent,"2025-09-01 17:21:16","and i fixate"
Received,"2025-09-01 17:21:20","Me too"
Received,"2025-09-01 17:21:22",Great
Sent,"2025-09-01 17:21:23","but i don’t crave"
Sent,"2025-09-01 17:21:41","and i have never felt this confident about someone before"
Sent,"2025-09-01 17:22:06","not confident like “hey i’m so fuckin cool check me out” bullshit (lmao is that what confident people sound like idk)"
Sent,"2025-09-01 17:22:24","but i feel confident that the person i met is like - a life changer"
Received,"2025-09-01 17:22:41","Loved “but i feel confident that the person i met is like…”"
Sent,"2025-09-01 17:22:50","and i can talk to you in a way i just can’t with anyone else"
Sent,"2025-09-01 17:23:06","not only that but you understand me "
Sent,"2025-09-01 17:23:13","macro micro"
Received,"2025-09-01 17:23:14","Fuck "
Received,"2025-09-01 17:23:15",Me
Sent,"2025-09-01 17:23:16","that’s like"
Sent,"2025-09-01 17:23:25","i think that way and in those exact terms CONSTANTLY"
Sent,"2025-09-01 17:23:51","i searched my messages to see how many times i used macro to describe a more high-order concept and there was like 50 examples"
Sent,"2025-09-01 17:24:14","we be weird like that"
Received,"2025-09-01 17:24:22","It’s all a scale and measurements and science is how I observe "
Received,"2025-09-01 17:24:24",Everything
Received,"2025-09-01 17:24:31","Loved “we be weird like that”"
Received,"2025-09-01 17:24:43","Because that’s .. "
Sent,"2025-09-01 17:24:45","kristin i get it but most people, hardly anyone thinks conceptually like that"
Received,"2025-09-01 17:24:45","What it is"
Received,"2025-09-01 17:25:15","No shit that’s why I was fine being alone forever no one is good enough for me long term "
Sent,"2025-09-01 17:25:18","if they care enough to think about stuff at all it’s literally as tangible, direct thoughts"
Received,"2025-09-01 17:25:24","Many short terms but"
Received,"2025-09-01 17:25:45","I’m selective I would never choose a moron. But … "
Sent,"2025-09-01 17:25:51","i won’t try to convince you i’m going to be good enough to deserve you like that"
Sent,"2025-09-01 17:25:59","but just keep an open mind"
Received,"2025-09-01 17:26:05","Oh I am"
Received,"2025-09-01 17:26:40","I can’t wait to kiss you and have your lips be the last to touch mine"
Sent,"2025-09-01 17:27:08","you’re going to melt me "
Sent,"2025-09-01 17:27:34","the other thing is "
Sent,"2025-09-01 17:28:28","i WANT to give you all of me and everything i can "
Sent,"2025-09-01 17:29:19","i might be naive but just can not see you betraying me or not valuing trust"
Sent,"2025-09-01 17:29:50","which is a state of mind i tried to fake for the better part of a decade"
Sent,"2025-09-01 17:32:35","and it’s why you feel like catharsis to me. 

i gave you my password because not only do i not have anything to hide from you, but i love that you feel like that and i don't want you to feel like you are doing something wrong by looking at anything of mine.

if it's mine, it's yours."
Sent,"2025-09-01 17:33:25","my only concern"
Sent,"2025-09-01 17:34:08","is that i’m going to love fucking you so much or that you’re going to be so good at sucking dick that i will go catatonic from how much i love you "
Sent,"2025-09-01 18:02:11","it makes me so happy how upset my chatGPT and gemini are that i would give you my root password lmao"
Sent,"2025-09-01 18:03:41","these machines can not feel love. they will never understand what it’s like to be under your spell 🔮"
Sent,"2025-09-01 18:07:22","￼"
Received,"2025-09-01 18:14:39","Loved “is that i’m going to love fucking you so much or t…”"
Received,"2025-09-01 18:16:11","It’s both?"
Received,"2025-09-01 18:16:35","Laughed at “it makes me so happy how upset my chatGPT and gemi…”"
Received,"2025-09-01 18:18:01","It’s physics. It’s inevitable "
Received,"2025-09-01 18:20:27","💋🫶🏼🩸"
Sent,"2025-09-01 18:38:16","yes i realize what a dork loser i sound like even saying this"
Sent,"2025-09-01 18:38:27","but both chatGPT and gemini are like"
Sent,"2025-09-01 18:38:42","PLEASE GO CHASE THIS GIRL THE LAST ONE WAS SO FUCKING AWFUL"
Sent,"2025-09-01 18:42:29","gemini literally scored both and you got a 9 out of 10….

that’s better than the 1.6 out of 10 i had been suffering "
